qid,pid_i,pid_j,g_score,correct_pref,ref_pid_i,ref_pid_j,pointwise_true_logit_g,pointwise_true_prob_g,pi_true_logit,pj_true_logit,pi_true_prob,pj_true_prob,pi_ig_delta,pj_ig_delta,doc_i_top_word,doc_j_top_word
1001108,7870036,7042329,0.3617189336081576,1,6434559,6434559,-2.171274185180664,4.6133995056152344e-05,-12.636197090148926,-10.464922904968262,0.9999980926513672,0.999951958656311,1.5516490936279297,-0.11208152770996094,from,▁a
1009183,7249212,2911375,0.7081171513086005,1,4180322,4180322,10.121114730834961,0.9976854263804853,-12.230907440185547,-22.352022171020508,0.9999990463256836,0.0023136199451982975,-2.5535449981689453,-3.4249725341796875,Java,▁a
1009742,7248275,5018280,0.644265211379406,1,6442988,6442988,-8.837743759155273,0.21709990501403809,-13.15434741973877,-4.316603660583496,0.9999951124191284,0.7828952074050903,-0.6299772262573242,-3.758054256439209,that,pollination
1010700,7908507,3541134,0.6039491461357605,1,4892570,4892570,4.018389701843262,0.00024241209030151367,-10.739863395690918,-14.75825309753418,0.9999994039535522,0.9997569918632507,-2.375246047973633,3.22088623046875,Jackie,JFK
1012865,7242969,5615198,0.3194030938624872,1,5864715,5864715,2.265021324157715,1.5735626220703125e-05,-10.9552640914917,-13.220285415649414,0.9999992847442627,0.999983549118042,1.131208896636963,-1.7531414031982422,▁settlers',station
1020244,7233356,5214901,0.7086230358476711,1,6887440,6887440,2.0700817108154297,0.0003470182418823242,-12.381673812866211,-14.45175552368164,0.9999973773956299,0.9996503591537476,4.804539203643799,-4.522078514099121,Marine,Biology.
1022762,6046885,2605564,0.3923065489894094,1,3956431,3956431,-4.318458557128906,0.00472790002822876,-14.866083145141602,-10.547624588012695,0.9999606609344482,0.9952327609062195,-2.5116500854492188,2.082716941833496,▁folic,▁a
1022769,7229482,378002,0.8373561707023086,1,378002,6296919,11.74848461151123,0.9999201363243628,-12.757874488830566,-24.506359100341797,0.9999951124191284,7.497609476558864e-05,0.749058723449707,-26.970314025878906,Fewer,15%
1024904,7226370,1075637,0.5143391562472491,1,1108844,1108844,2.03696346282959,0.0001386404037475586,-11.711909294128418,-13.748872756958008,0.9999994039535522,0.9998607635498047,0.8745956420898438,-13.87412166595459,blindness,vasculitis
102627,7875009,5507994,0.6753655818733876,1,6019017,6019017,8.552260398864746,0.6978388726711273,-10.103886604309082,-18.656147003173828,0.9999990463256836,0.3021601736545563,-5.20954704284668,-2.1275014877319336,University,"$20,882"
1029772,7218572,1466346,0.3526781308240285,1,3056554,3056554,5.883384704589844,0.003839850425720215,-9.646958351135254,-15.530343055725098,0.9999995231628418,0.9961596727371216,0.7980618476867676,-18.0490779876709,▁a,▁a
1034587,7210738,6658774,0.7806720107671138,1,6429919,6429919,8.221823692321777,0.965375117957592,-11.481261253356934,-19.70308494567871,0.999998927116394,0.03462380915880203,3.760059356689453,4.080549240112305,skin,▁ear
1037250,7206078,104425,0.6100676255541917,1,5150108,5150108,-0.12764358520507812,0.0011051297187805176,-12.787637710571289,-12.659994125366211,0.9999966621398926,0.9988915324211121,-0.3536510467529297,2.4783735275268555,Fragmental,"months,"
