qid,pid_i,pid_j,g_score,correct_pref,direct_true_prob,direct_margin,pw_ig_delta,doc0_top_word,doc1_top_word
1001108,7870036,7042329,0.3617189336081576,1,0.9955857992172241,5.418521881103516,-1.2533941268920898,poles.,any
1009183,7249212,2911375,0.7081171513086005,1,0.9999992847442627,14.152032852172852,1.6431083679199219,▁a,Persistence
1009742,7248275,5018280,0.644265211379406,1,0.9998646974563599,8.908000946044922,1.8755521774291992,▁a,beard.iffen
1010700,7908507,3541134,0.6039491461357605,1,0.9999985694885254,13.498180389404297,1.3156909942626953,JFK,assassination.
1012865,7242969,5615198,0.3194030938624872,1,0.999992847442627,11.854135513305664,0.07907581329345703,Brown,Keys
1020244,7233356,5214901,0.7086230358476711,1,0.9999687671661377,10.374898910522461,-4.352297306060791,biologists,2012
1022762,6046885,2605564,0.3923065489894094,1,0.9492946267127991,2.929687976837158,0.08851814270019531,important.,vitamins:
1022769,7229482,378002,0.8373561707023086,1,0.9999951124191284,12.238188743591309,-1.5593757629394531,Obesity,pooch’s
1024904,7226370,1075637,0.5143391562472491,1,0.9999943971633911,12.087421417236328,3.556385040283203,Treatment,▁a
102627,7875009,5507994,0.6753655818733876,1,0.999998927116394,13.693918228149414,2.3704442977905273,"$24,630.",▁a
1029772,7218572,1466346,0.3526781308240285,1,0.9999992847442627,14.157569885253906,-0.6270790100097656,Arrowhead,80021.
1034587,7210738,6658774,0.7806720107671138,1,0.9999979734420776,13.115641593933105,0.34566307067871094,dog,▁odor.ogs
1037250,7206078,104425,0.6100676255541917,1,0.9999983310699463,13.284802436828613,-0.979557991027832,Regolith,Eclipses
1041951,7198934,1777778,0.3650258586884631,1,0.9999653100967407,10.270009994506836,1.8185367584228516,Cytokines,"2,4,5,10,12,Tnf"
1042978,7197542,4385933,0.6437149371796154,1,0.9999990463256836,13.845186233520508,-1.6639270782470703,clearinghouse.,Credit
1043064,7197436,2403731,0.6027068304354128,1,0.9999982118606567,13.255670547485352,-1.0112199783325195,▁tetrafluoride.,"silica,"
1043568,7197007,8721020,0.7891648869866199,1,0.999998927116394,13.714276313781738,-2.4011125564575195,Bryozoans,carnivores
1047162,7190154,3652302,0.6352796391850177,1,0.9999876022338867,11.295352935791016,-1.1115646362304688,"Resi,","party,"
1047642,7189248,7189250,-0.0564177645210293,0,0.34373635053634644,-0.6466876268386841,-0.8529375791549683,PTZtv,▁a
1051223,7183716,8174629,0.8662227051253376,1,0.9999982118606567,13.229427337646484,-0.5254411697387695,menhir.,▁a.
1057139,7173406,683695,0.4846355936637585,1,0.9999548196792603,10.005443572998047,-0.8493556976318359,Database,off-the-shelf
1057270,7847045,148902,0.5919498714153099,1,0.9999940395355225,12.020890235900879,0.014410018920898438,friends....and,▁a
1060391,7168612,1791246,0.5695745470098699,1,0.999998927116394,13.733709335327148,1.9235258102416992,Barbra,Blunt:
1064529,7163878,7163882,0.3372514115861956,1,0.9917582869529724,4.790274620056152,-1.0339550971984863,▁adipocere,by
1064808,7163603,2248471,0.827547666427096,1,0.9998428821563721,8.758716583251953,1.0934524536132812,Acantholysis.,Pemphigus
1068290,7160260,4669770,-0.0327439437166494,0,0.4477240741252899,-0.20987075567245483,-0.02843421697616577,Realpolitik,Realpolitik
1070452,7158303,1249929,0.7337717964998991,1,0.9999985694885254,13.449934959411621,-0.9048595428466797,output),▁RCA-Type
1070546,7158204,1189749,0.4691348557327264,1,0.9999524354934692,9.95370864868164,0.40731239318847656,meta-review,Meta-Analysis.
1071198,7157715,8471802,0.1086594052987341,1,0.9999947547912598,12.154605865478516,-1.7317752838134766,Lobster,"▁prawn,"
1072479,7156499,272432,0.6540086323821801,1,0.999997615814209,12.929083824157715,-0.15527915954589844,(GUI,GeoGebra
1074995,7154432,7852208,0.2407960866007206,1,0.9955692887306213,5.414755821228027,0.26868391036987305,▁cyclin-dependent,▁cyclins
1079340,7150401,5403893,0.1756334538890108,1,0.9999967813491821,12.634754180908203,-0.9398946762084961,▁.,▁a
1082701,7143620,7143617,-0.1068819531527628,0,0.24018526077270508,-1.1516640186309814,-1.1171622276306152,meaning,have
1083933,7132959,2449429,0.7610747204355697,1,0.9999921321868896,11.759056091308594,-2.6955947875976562,(Noun),"inline-table,"
